episode,return,hit,epsilon,outcome
0,-6.181210530667166,0,0.7,miss
1,-16.075,0,0.6998833333333333,miss
2,-6.820789452395357,0,0.6997666666666666,miss
3,-8.569731187276755,0,0.69965,miss
4,-16.05,0,0.6995333333333332,miss
5,-8.567410756535526,0,0.6994166666666666,miss
6,-9.83487892776114,0,0.6992999999999999,miss
7,-10.291215304418033,0,0.6991833333333333,miss
8,-14.81701501132397,0,0.6990666666666666,miss
9,-8.027265677365218,0,0.69895,miss
10,-6.184178233098017,0,0.6988333333333333,miss
11,-8.301012190848548,0,0.6987166666666667,miss
12,-8.624920358920825,0,0.6986,miss
13,-16.05,0,0.6984833333333333,miss
14,-16.075,0,0.6983666666666667,miss
15,-10.102492451704347,0,0.69825,miss
16,-16.05,0,0.6981333333333333,miss
17,-8.638433805335476,0,0.6980166666666666,miss
18,-16.05,0,0.6979,miss
19,-16.075,0,0.6977833333333333,miss
20,-9.629275263921354,0,0.6976666666666667,miss
21,-5.393027479032468,0,0.69755,miss
22,-16.075,0,0.6974333333333332,miss
23,-16.075,0,0.6973166666666666,miss
24,-16.05,0,0.6971999999999999,miss
25,-16.05,0,0.6970833333333333,miss
26,-7.499172400709715,0,0.6969666666666666,miss
27,7.110375526604056,1,0.69685,hit
28,-16.075,0,0.6967333333333333,miss
29,-9.450030038727709,0,0.6966166666666667,miss
30,-7.595951168791898,0,0.6965,miss
31,-10.668195464039155,0,0.6963833333333334,miss
32,-7.089946860196065,0,0.6962666666666667,miss
33,-6.643565072519169,0,0.69615,miss
34,-6.1455360805405235,0,0.6960333333333333,miss
35,-7.718801086519489,0,0.6959166666666666,miss
36,-8.997240468446929,0,0.6958,miss
37,-8.43135252987422,0,0.6956833333333333,miss
38,-16.05,0,0.6955666666666667,miss
39,-14.207431740020038,0,0.69545,miss
40,-16.05,0,0.6953333333333332,miss
41,-16.05,0,0.6952166666666666,miss
42,-16.1,0,0.6950999999999999,miss
43,-8.735556085598423,0,0.6949833333333333,miss
44,-6.199091063593164,0,0.6948666666666666,miss
45,-16.05,0,0.69475,miss
46,-8.32347504480654,0,0.6946333333333332,miss
47,-16.05,0,0.6945166666666666,miss
48,-16.075,0,0.6943999999999999,miss
49,-8.098059115296858,0,0.6942833333333333,miss
50,-6.532819768499905,0,0.6941666666666666,miss
51,-6.28710613465921,0,0.69405,miss
52,-16.05,0,0.6939333333333333,miss
53,-10.403899889753937,0,0.6938166666666666,miss
54,-7.013257684955393,0,0.6937,miss
55,-14.45047202325663,0,0.6935833333333333,miss
56,-7.356002630928106,0,0.6934666666666667,miss
57,-16.05,0,0.69335,miss
58,-10.030262600853032,0,0.6932333333333333,miss
59,-9.865440049172179,0,0.6931166666666666,miss
60,-8.965634897811045,0,0.693,miss
61,-16.1,0,0.6928833333333333,miss
62,-16.05,0,0.6927666666666666,miss
63,-7.546503829197656,0,0.69265,miss
64,-5.747555716368225,0,0.6925333333333332,miss
65,-16.075,0,0.6924166666666666,miss
66,-16.1,0,0.6922999999999999,miss
67,-12.015620064160908,0,0.6921833333333333,miss
68,-16.05,0,0.6920666666666666,miss
69,-16.05,0,0.69195,miss
70,-16.05,0,0.6918333333333333,miss
71,-16.05,0,0.6917166666666666,miss
72,-5.860723060541758,0,0.6916,miss
73,-16.05,0,0.6914833333333333,miss
74,-16.05,0,0.6913666666666667,miss
75,-8.203832523986152,0,0.69125,miss
76,-9.463921069176429,0,0.6911333333333333,miss
77,-16.075,0,0.6910166666666666,miss
78,6.358152168620579,1,0.6909,hit
79,-9.352668952307889,0,0.6907833333333333,miss
80,-8.801009337076255,0,0.6906666666666667,miss
81,-7.822930307863046,0,0.69055,miss
82,-6.9501215752479215,0,0.6904333333333332,miss
83,-16.075,0,0.6903166666666666,miss
84,-16.05,0,0.6901999999999999,miss
85,-16.05,0,0.6900833333333333,miss
86,-13.041395995237547,0,0.6899666666666666,miss
87,-16.05,0,0.68985,miss
88,-8.099311077678788,0,0.6897333333333333,miss
89,-11.562681785736324,0,0.6896166666666667,miss
90,-9.257757371920263,0,0.6895,miss
91,-10.923409243024805,0,0.6893833333333333,miss
92,-9.733189436877261,0,0.6892666666666667,miss
93,-7.8611881015288985,0,0.68915,miss
94,-12.450321669214734,0,0.6890333333333333,miss
95,-16.05,0,0.6889166666666666,miss
96,-5.966376335991526,0,0.6888,miss
97,-9.75685410164471,0,0.6886833333333333,miss
98,-15.973365052482903,0,0.6885666666666667,miss
99,-16.05,0,0.68845,miss
100,-16.05,0,0.6883333333333332,miss
101,-7.33585416984986,0,0.6882166666666666,miss
102,-16.05,0,0.6880999999999999,miss
103,-16.05,0,0.6879833333333333,miss
104,-16.05,0,0.6878666666666666,miss
105,-16.05,0,0.68775,miss
106,-7.503555173342533,0,0.6876333333333332,miss
107,-9.29666132770994,0,0.6875166666666666,miss
108,-16.05,0,0.6873999999999999,miss
109,-16.075,0,0.6872833333333332,miss
110,-16.075,0,0.6871666666666666,miss
111,-8.24194177117089,0,0.6870499999999999,miss
112,-13.068901244863957,0,0.6869333333333333,miss
113,-16.05,0,0.6868166666666666,miss
114,-16.05,0,0.6867,miss
115,-16.05,0,0.6865833333333333,miss
116,-8.668462245847547,0,0.6864666666666667,miss
117,-8.826375266396536,0,0.68635,miss
118,-5.785392994297513,0,0.6862333333333333,miss
119,-10.421640977099234,0,0.6861166666666666,miss
120,-8.493295593220747,0,0.6859999999999999,miss
121,-16.05,0,0.6858833333333333,miss
122,-16.05,0,0.6857666666666666,miss
123,-7.65755107849125,0,0.68565,miss
124,-9.617735639428682,0,0.6855333333333333,miss
125,-13.435828841185554,0,0.6854166666666666,miss
126,-16.05,0,0.6852999999999999,miss
127,-16.1,0,0.6851833333333333,miss
128,-7.29046468444991,0,0.6850666666666666,miss
129,-16.05,0,0.68495,miss
130,-16.075,0,0.6848333333333333,miss
131,-6.20647457369353,0,0.6847166666666666,miss
132,-16.05,0,0.6846,miss
133,-16.05,0,0.6844833333333333,miss
134,-16.1,0,0.6843666666666667,miss
135,-16.05,0,0.68425,miss
136,-10.405129501635795,0,0.6841333333333334,miss
137,-10.017034789436451,0,0.6840166666666666,miss
138,-12.934089021394106,0,0.6839,miss
139,-12.608258349631521,0,0.6837833333333333,miss
140,-16.05,0,0.6836666666666666,miss
141,-8.17762480041023,0,0.68355,miss
142,-6.350821884797221,0,0.6834333333333333,miss
143,-6.910339275367568,0,0.6833166666666666,miss
144,-7.593945318295107,0,0.6831999999999999,miss
145,-10.347689540890357,0,0.6830833333333333,miss
146,-10.565323210220411,0,0.6829666666666666,miss
147,-8.090634392968617,0,0.68285,miss
148,-16.05,0,0.6827333333333333,miss
149,-9.642855913934778,0,0.6826166666666666,miss
150,-9.424076410602437,0,0.6825,miss
151,-8.499073929821309,0,0.6823833333333333,miss
152,-9.171907754368059,0,0.6822666666666667,miss
153,-16.05,0,0.68215,miss
154,-16.05,0,0.6820333333333334,miss
155,-11.124580770921343,0,0.6819166666666666,miss
156,-6.510065150554976,0,0.6818,miss
157,-8.352636247425158,0,0.6816833333333333,miss
158,-14.472744322285184,0,0.6815666666666667,miss
159,-9.118251099836183,0,0.68145,miss
160,-8.322104418725248,0,0.6813333333333333,miss
161,6.596378279948412,1,0.6812166666666666,hit
162,-6.891910291664638,0,0.6810999999999999,miss
163,-16.05,0,0.6809833333333333,miss
164,-16.05,0,0.6808666666666666,miss
165,-10.838580500628385,0,0.68075,miss
166,-8.50455297222277,0,0.6806333333333333,miss
167,-16.05,0,0.6805166666666665,miss
168,-7.1483966955341325,0,0.6803999999999999,miss
169,-5.8905490824276745,0,0.6802833333333332,miss
170,-16.05,0,0.6801666666666666,miss
171,-16.05,0,0.6800499999999999,miss
172,-5.870824247578849,0,0.6799333333333333,miss
173,-16.05,0,0.6798166666666666,miss
174,-9.53650698991957,0,0.6797,miss
175,-9.065166431009475,0,0.6795833333333333,miss
176,-8.58259091348452,0,0.6794666666666667,miss
177,-16.05,0,0.67935,miss
178,-8.004373371718586,0,0.6792333333333334,miss
179,-16.05,0,0.6791166666666666,miss
180,-16.05,0,0.6789999999999999,miss
181,-7.352864272346256,0,0.6788833333333333,miss
182,-16.05,0,0.6787666666666666,miss
183,-7.057849440234545,0,0.67865,miss
184,-16.05,0,0.6785333333333333,miss
185,-16.05,0,0.6784166666666666,miss
186,-6.5420465013297076,0,0.6782999999999999,miss
187,-16.05,0,0.6781833333333332,miss
188,-10.0436774459672,0,0.6780666666666666,miss
189,-16.05,0,0.6779499999999999,miss
190,-7.653302386035376,0,0.6778333333333333,miss
191,-8.776861786336095,0,0.6777166666666666,miss
192,-16.075,0,0.6776,miss
193,-7.215844106351258,0,0.6774833333333333,miss
194,-8.542186098110214,0,0.6773666666666667,miss
195,-15.284620336941247,0,0.67725,miss
196,-16.05,0,0.6771333333333334,miss
197,-6.7289773476133306,0,0.6770166666666666,miss
198,-7.016059811209427,0,0.6769,miss
199,-16.125,0,0.6767833333333333,miss
200,-9.78969065238286,0,0.6766666666666666,miss
201,-7.727238305411052,0,0.67655,miss
202,-8.40399264032092,0,0.6764333333333333,miss
203,-8.438927776552516,0,0.6763166666666666,miss
204,-6.259637847989507,0,0.6761999999999999,miss
205,-9.49522692011728,0,0.6760833333333333,miss
206,-16.075,0,0.6759666666666666,miss
207,-8.61884995026872,0,0.67585,miss
208,-8.151352023473285,0,0.6757333333333333,miss
209,-10.231562416301843,0,0.6756166666666666,miss
210,-16.075,0,0.6755,miss
211,-16.05,0,0.6753833333333333,miss
212,-16.05,0,0.6752666666666667,miss
213,-16.05,0,0.67515,miss
214,-13.293502479169748,0,0.6750333333333334,miss
215,-6.935868974161244,0,0.6749166666666666,miss
216,-14.03979302348083,0,0.6748,miss
217,-10.564106536185193,0,0.6746833333333333,miss
